movies,ratings
 Ramayana: The Legend of Prince Rama,9.2
   th Fail,8.9
 Nayakan,8.7
 Gol Maal,8.5
 Anbe Sivam,8.6
 Rocketry: The Nambi Effect,8.7
     Charlie,8.7
 Pariyerum Perumal,8.7
 Manichitrathazhu,8.7
  Home,8.8
    Idiots,8.4
  Apur Sansar,8.4
  Kireedam,8.9
 Kancharapalem,8.8
  Soorarai Pottru,8.7
  Kumbalangi Nights,8.5
  Black Friday,8.4
  Sandesham,9
  Jai Bhim,8.7
  Taare Zameen Par,8.3
  Jersey,8.5
  Maya Bazaar,9.1
96,8.5
  Natsamrat,8.8
  Laapataa Ladies,8.5
  Dangal,8.3
  Kaithi,8.4
  Sita Ramam,8.5
  Drishyam  ,8.4
  Thevar Magan,8.7
  Visaaranai,8.4
  Asuran,8.4
  Nadodikkattu,8.8
  Thalapathi,8.5
  Sarpatta Parambarai,8.5
  Drishyam,8.3
  Thani Oruvan,8.4
  Nuvvu Naaku Nachchav,8.8
  Anniyan,8.3
  Vada Chennai,8.4
  Jaane Bhi Do Yaaro,8.3
  Khosla Ka Ghosla!,8.2
  Peranbu,8.7
  Aparajito,8.2
  Ratsasan,8.3
  Sardar Udham,8.4
  Bangalore Days,8.3
  Devasuram,8.7
  Premam,8.3
  Chupke Chupke,8.3
  Pather Panchali,8.2
  Gangs of Wasseypur,8.2
  Satya,8.3
  Agent Sai Srinivasa Athreya,8.3
  Mahanati,8.4
  Manjummel Boys,8.5
  Chithram,8.6
  Drishyam,8.2
  Chhichhore,8.3
  Bhaag Milkha Bhaag,8.2
  Spadikam,8.6
  Guide,8.3
  Super Deluxe,8.2
  Andhadhun,8.2
  Vikram Vedha,8.2
  Zindagi Na Milegi Dobara,8.2
  Tumbbad,8.2
  Vikram,8.3
  Iruvar,8.4
"  Swades: We, the People",8.2
  Kannathil Muthamittal,8.3
  Sairat,8.3
  Hera Pheri,8.2
  Shahid,8.2
  Mudhalvan,8.4
  Aruvi,8.4
  Munna Bhai M.B.B.S.,8.1
  Papanasam,8.4
  Pyaasa,8.3
  Mandela,8.4
  Paan Singh Tomar,8.2
  Chak De! India,8.1
  Uri: The Surgical Strike,8.2
  Pudhu Pettai,8.4
  Aaranya Kaandam,8.5
  Jo Jeeta Wohi Sikandar,8.1
  Black,8.1
  Jana Gana Mana,8.3
  Lagaan: Once Upon a Time in India,8.1
  PK,8.1
  Soodhu Kavvum,8.3
  Drishyam  ,8.2
  Jigarthanda,8.2
  Virumandi,8.4
  Dhuruvangal Pathinaaru,8.2
  Sholay,8.1
2018,8.3
  Kaakkaa Muttai,8.3
  Sarfarosh,8.1
   Barfi!,8.1
   Udaan,8.1
   Talvar,8.1
   OMG: Oh My God!,8.1
   Maheshinte Prathikaram,8.3
   Angoor,8.3
   Queen,8.1
   Theeran Adhigaaram Ondru,8.2
   Article   ,8.1
   Ustad Hotel,8.2
   The Legend of Bhagat Singh,8.1
   Baasha,8.3
   Bãhubali  : The Conclusion,8.2
   Rang De Basanti,8.1
   Pithamagan,8.3
   Kahaani,8.1
   Oru Vadakkan Veeragatha,8.7
   Lion,8
   Masaan,8.1
   A Wednesday,8.1
   Dil Chahta Hai,8.1
   Shershaah,8.3
   Nil Battey Sannata,8.2
   Bajrangi Bhaijaan,8.1
   Kaun Pravin Tambe?,8.3
   Lage Raho Munna Bhai,8
   Iqbal,8.1
   Lucia,8.3
   Alai Payuthey,8.3
   Anand,8.1
   Bommarillu,8.2
   Roja,8.1
   Pink,8.1
   Charulata,8.1
   Omkara,8
   Indian,8.1
   Bombay,8.1
   Section    ,8.1
   Viduthalai Part  ,8.3
   Vaaranam Aayiram,8.2
   Padayappa,8.2
   Dilwale Dulhania Le Jayenge,8
   K.G.F: Chapter  ,8.2
   Rangasthalam,8.2
   Athadu,8.2
   Mughal-E-Azam,8.1
   The Great Indian Kitchen,8.1
   Thadam,8.1
   Haider,8
   Andaz Apna Apna,8
   Kantara,8.2
   Special Chabbis,8
   Pelli Choopulu,8.2
   Maqbool,8
   Chithha,8.2
   Maanaadu,8.2
   Ulidavaru Kandanthe,8.4
   Gulaal,8
   Hi Nanna,8.2
   Only One Man Is Enough,8
   Aadukalam,8.1
   Naduvula Konjam Pakkatha Kaanom,8.2
   Padosan,8.1
   Maanagaram,8.1
   Vaastav: The Reality,8
   Deewaar,8
   K.G.F: Chapter  ,8.3
   Company,8
   Saptha Sagaradaache Ello - Side A,8.2
   Kshanam,8.2
   Nayattu,8.1
   Evaru,8.1
   Ugly,7.9
   Badhaai Ho,7.9
   Charlie,8
   Pranchiyettan and the Saint,8.3
   Garuda Gamana Vrishabha Vahana,8.3
   Ayyappanum Koshiyum,8
   Baishe Srabon,8.1
   My Name Is Khan,7.9
   M.S. Dhoni: The Untold Stor,8
   The Goat Life,8.6
   Deiva Thirumagal,8.2
   Gully Boy,7.9
   Thondi Muthalum Driksakshiyum,8.1
   Ship of Theseus,8
   Take Off,8.1
   Major,8.1
   Kal Ho Naa Ho,7.9
   Jab We Met,7.9
   Dev.D,7.9
   Vedam,8.1
   Manjhi: The Mountain Man,8
   Border,7.9
   Mukkabaaz,8
   Gargi,8.1
   Kirik Party,8.2
   Hridayam,8.1
   Por Thozhil,8
   Vinnaithaandi Varuvaayaa,8.1
   Bãhubali: The Beginning,7.9
   Salaam Bombay!,7.9
   Jigarthanda Double X,8.1
   Dil Bechara,8.3
   Karnan,8
   Super   ,7.9
   Traffic,8.1
   Pizza,7.9
   Hey Ram,7.9
   Padman,7.9
   Love Today,8
   Android Kunjappan Version  .  ,8
   Baby,7.9
   Ankhon Dekhi,7.9
   Ghilli,8.1
   Malik,8
   Hindi Medium,7.8
   Memories,8
   Joseph,8
   The Tashkent Files,8.1
   Thuppakki,8.1
   Article    ,8
   Jalsaghar,7.9
   Anjaam Pathiraa,7.9
   English Vinglish,7.8
   Arjun Reddy,7.9
   Dor,7.9
   Johnny Gaddaar,7.9
   Lakshya,7.8
   Pokiri,8
   Airlift,7.9
   Mera Naam Joker,7.9
   Kaakha Kaakha,8
   Okkadu,8
   Vettaiyaadu Vilaiyaadu,7.9
   Thulladha Manamum Thullum,8.3
   Gangaajal,7.8
   Oopiri,8
   The Lunchbox,7.8
   Kaththi,8.1
   Mumbai Police,7.9
   Manam,8
   Veer Zara,7.8
   Leader,8
   Unnaipol Oruvan,8
   Chamkila,8
   Ayirathil Oruvan,8
   Ab Tak Chhappan,7.8
   Poove Unakkaga,8.6
   RangiTaranga,8.1
   Aavesham,8
